block_height,total_supply,burn_balance,circulating_supply,date
55218553,942293227.8271111,8159074.09530666,934134153.7318045,2022-09-12 15:09:33.745709
55175392,942193622.1649575,8133827.318128379,934059794.8468292,2022-09-11 15:09:33.745709
55132239,942094002.6128362,8093676.893636977,934000325.7191993,2022-09-10 15:09:33.745709
55089062,941994556.7575524,8074934.797616579,933919621.9599358,2022-09-09 15:09:33.745709
55045897,941895259.2926193,8047217.908657899,933848041.3839614,2022-09-08 15:09:33.745709
55002716,941796164.2364101,8002606.177496717,933793558.0589135,2022-09-07 15:09:33.745709
54959538,941696731.6503385,7955447.870320488,933741283.7800181,2022-09-06 15:09:33.745709
54916393,941597148.6988252,8155115.200004533,933442033.4988207,2022-09-05 15:09:33.745709
54873279,941497622.6911458,8135330.049593728,933362292.6415521,2022-09-04 15:09:33.745709
54830208,941398121.680863,8121980.883234402,933276140.7976286,2022-09-03 15:09:33.745709
54787074,941298575.2615322,8116078.826643495,933182496.4348887,2022-09-02 15:09:33.745709
54743910,941198936.8771955,8094271.64550071,933104665.2316948,2022-09-01 15:09:33.745709
54700752,941099484.2500701,8051024.420913054,933048459.829157,2022-08-31 15:09:33.745709
54657848,941000725.6307017,8035041.133883106,932965684.4968185,2022-08-30 15:09:33.745709
54614807,940901424.884536,8134977.991926541,932766446.8926095,2022-08-29 15:09:33.745709
54571624,940801787.7629329,8099376.888460908,932702410.874472,2022-08-28 15:09:33.745709
54528444,940702195.85488,8061199.267372316,932640996.5875076,2022-08-27 15:09:33.745709
54485281,940602752.5977623,8118838.2261166675,932483914.3716457,2022-08-26 15:09:33.745709
54442137,940503307.4374188,8113669.2308787955,932389638.20654,2022-08-25 15:09:33.745709
54399048,940403953.612588,8090107.979090252,932313845.6334978,2022-08-24 15:09:33.745709
54355897,940304491.5954444,8049853.109605341,932254638.4858391,2022-08-23 15:09:33.745709
54312734,940205250.1069256,8007943.36393886,932197306.7429868,2022-08-22 15:09:33.745709
54269612,940105914.8993462,8060831.9126352,932045082.986711,2022-08-21 15:09:33.745709
54226433,940006403.8037554,8008665.491071979,931997738.3126835,2022-08-20 15:09:33.745709
54183265,939907265.5500361,7984026.190807478,931923239.3592286,2022-08-19 15:09:33.745709
54140085,939807731.348232,7944380.471839556,931863350.8763925,2022-08-18 15:09:33.745709
54096907,939708078.5181834,7905166.705355277,931802911.8128281,2022-08-17 15:09:33.745709
54053740,939608811.5715142,7857633.682012711,931751177.8895016,2022-08-16 15:09:33.745709
54010570,939509250.0448267,7818717.130927374,931690532.9138994,2022-08-15 15:09:33.745709
53967438,939409750.5843102,7782525.34749125,931627225.2368189,2022-08-14 15:09:33.745709
53924298,939310092.8601938,7744617.774720565,931565475.0854733,2022-08-13 15:09:33.745709
53881184,939212581.9881514,7717051.715794963,931495530.2723565,2022-08-12 15:09:33.745709
53838025,939113117.3006483,7692036.941060062,931421080.3595883,2022-08-11 15:09:33.745709
53794847,939013468.8582865,7658909.922324751,931354558.9359617,2022-08-10 15:09:33.745709
53751988,938914561.2763783,7619660.714008853,931294900.5623695,2022-08-09 15:09:33.745709
53709198,938816088.0636196,7582707.915135364,931233380.1484842,2022-08-08 15:09:33.745709
53666022,938716416.9092529,7540021.067928311,931176395.8413246,2022-08-07 15:09:33.745709
53622859,938616827.9229685,7500329.244931222,931116498.6780373,2022-08-06 15:09:33.745709
53579697,938517270.9919798,7457105.118886768,931060165.8730931,2022-08-05 15:09:33.745709
53536571,938417917.6930993,7436680.805075234,930981236.888024,2022-08-04 15:09:33.745709
53493409,938318454.8526069,7392765.3202904835,930925689.5323164,2022-08-03 15:09:33.745709
53450281,938219032.9283385,7487437.199320062,930731595.7290184,2022-08-02 15:09:33.745709
53407122,938119684.6892028,7503960.206736444,930615724.4824663,2022-08-01 15:09:33.745709
53363970,938020489.5991143,7475020.746604673,930545468.8525096,2022-07-31 15:09:33.745709
53320816,937920985.6958044,7443574.636232236,930477411.0595721,2022-07-30 15:09:33.745709
53277637,937821487.2693968,8179997.007658408,929641490.2617384,2022-07-29 15:09:33.745709
53234470,937721933.5854512,8149057.568522479,929572876.0169288,2022-07-28 15:09:33.745709
53191307,937622393.4522626,8130450.97287368,929491942.479389,2022-07-27 15:09:33.745709
53148149,937522891.669811,8078556.310004336,929444335.3598067,2022-07-26 15:09:33.745709
53105014,937423480.718634,8049758.340489707,929373722.3781443,2022-07-25 15:09:33.745709
53061850,937324050.5252335,8033337.46899246,929290713.056241,2022-07-24 15:09:33.745709
53018717,937224475.3346641,7983458.856080982,929241016.4785831,2022-07-23 15:09:33.745709
52975556,937124908.9135377,7936238.781831565,929188670.1317061,2022-07-22 15:09:33.745709
52932380,937025417.331228,7906935.351575258,929118481.9796528,2022-07-21 15:09:33.745709
52889220,936926110.0941894,7888783.6018786635,929037326.4923108,2022-07-20 15:09:33.745709
52846042,936826566.8421035,7857408.551165961,928969158.2909375,2022-07-19 15:09:33.745709
52802866,936726972.8059053,7818824.6073821355,928908148.1985232,2022-07-18 15:09:33.745709
52759702,936627325.069414,7790573.553284718,928836751.5161293,2022-07-17 15:09:33.745709
